gc.content	chr.arm
chr1_0	47.14877322	chr1
chr1_50000	38.09818182	chr1
chr1_100000	43.35090909	chr1
chr1_150000	48.52545455	chr1
chr1_200000	45.2225	chr1
chr1_250000	39.78092222	chr1
chr1_300000	37.48165	chr1
chr1_350000	47.21090909	chr1
chr1_400000	38.86545455	chr1
chr1_450000	41.52	chr1
chr1_500000	44.9945875	chr1
chr1_550000	48.179175	chr1
chr1_600000	45.82363636	chr1
chr1_650000	37.30181818	chr1
chr1_700000	43.80909091	chr1
chr1_750000	43.07454545	chr1
chr1_800000	44.54909091	chr1
chr1_850000	46.33818182	chr1
chr1_900000	62.89272727	chr1
chr1_950000	61.34545455	chr1
chr1_1000000	63.18909091	chr1
chr1_1050000	60.90545455	chr1
chr1_1100000	58.72181818	chr1
chr1_1150000	60.12	chr1
chr1_1200000	64.44181818	chr1
chr1_1250000	60.38181818	chr1
chr1_1300000	64.96909091	chr1
chr1_1350000	56.48181818	chr1
chr1_1400000	57.24	chr1
chr1_1450000	57.14727273	chr1
chr1_1500000	58.94363636	chr1
chr1_1550000	54.04	chr1
chr1_1600000	59.34	chr1
chr1_1650000	54.17272727	chr1
chr1_1700000	54.17090909	chr1
chr1_1750000	52.33454545	chr1
chr1_1800000	45.22	chr1
chr1_1850000	49.86727273	chr1
chr1_1900000	57.21636364	chr1
chr1_1950000	54.74727273	chr1
chr1_2000000	57.45454545	chr1
chr1_2050000	56.95636364	chr1
chr1_2100000	55.70181818	chr1
chr1_2150000	57.98545455	chr1
chr1_2200000	58.75454545	chr1
chr1_2250000	57.35818182	chr1
chr1_2300000	62.21818182	chr1
chr1_2350000	54.12181818	chr1
chr1_2400000	61.33636364	chr1
chr1_2450000	64.83818182	chr1
chr1_2500000	62.96363636	chr1
chr1_2550000	58.89818182	chr1
chr1_2600000	55.48181818	chr1
chr1_2650000	61.95090909	chr1
chr1_2700000	61.73	chr1
chr1_2750000	57.72363636	chr1
chr1_2800000	55.88	chr1
chr1_2850000	59.72545455	chr1
chr1_2900000	58.17090909	chr1
chr1_2950000	53.26	chr1
chr1_3000000	53.94727273	chr1
chr1_3050000	58.83454545	chr1
chr1_3100000	58.90909091	chr1
chr1_3150000	57.4	chr1
chr1_3200000	56.58909091	chr1
chr1_3250000	56.5	chr1
chr1_3300000	55.64181818	chr1
chr1_3350000	57.15636364	chr1
chr1_3400000	56.53454545	chr1
chr1_3450000	61.26	chr1
chr1_3500000	63.36727273	chr1
chr1_3550000	61.68181818	chr1
chr1_3600000	56.87818182	chr1
chr1_3650000	58.36	chr1
chr1_3700000	58.72909091	chr1
chr1_3750000	54.37090909	chr1
chr1_3800000	47.69272727	chr1
chr1_3850000	50.92181818	chr1
chr1_3900000	52.33636364	chr1
